Aprob_Semestre1;Aprob_Semestre2;Aprob_Semestre3;Total_Aprob;Genero;Edad;Provincia;Estado_civil;emplea_ingresos;niv_form_padre;niv_form_madre;ing_hogar;num_miembros_hogar;ing_eve;Tipo_vivienda;tipo_const_vivienda;Internet;cert_practicas;Cert_ingles_A2;Trabaja;Tiempo_trab;Colegio_especializacion;Nivel_Ingles;Sist_ingreso;Tipo_Colegio;Tipo_matricula;Condicion;Porc_Beca;motivo_Beca_1;motivo_Beca_2;Continua
6;6;6;18;Masculino;30;Guayas;Soltero;Financiar sus estudios;Primaria;Primaria;1200;6;0;Propia;Casa;No;No aplica;No aplica;Si;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Fiscal;Extraordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;24;Guayas;Soltero;Gastos Personales;Secundaria;Secundaria;1000;5;0;Cedida;Otra;Si;Si;Si;Si;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Particular;Extraordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;22;Guayas;Soltero;Para mantener a su hogar;Primaria;Secundaria;800;4;0;Propia;Casa;Si;No;Si;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Fiscal;Ordinario;Reingreso;0;No aplica;Otros;1
6;6;6;18;Femenino;35;Guayas;Casado;Financiar sus estudios;Educacion Media;Secundaria;3000;4;0;Propia;Casa;Si;No;Si;Si;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;0;12;Femenino;20;Guayas;Soltero;Para mantener a su hogar;Educacion Media;Educacion Media;400;5;0;Cedida;Casa;Si;No;No;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Intermedio;Curso de Nivelacion;Particular;Ordinario;Regular;0;No aplica;Otros;0
6;6;6;18;Femenino;28;Guayas;Soltero;No aplica;Superior Universitaria;Secundaria;770;6;0;Propia;Villa;Si;No aplica;No aplica;Si;4;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Intermedio;Homologacion;Fiscal;Extraordinario;Homologado;0;No aplica;Otros;1
6;6;0;12;Femenino;22;Guayas;Soltero;No aplica;Superior Universitaria;Secundaria;700;5;0;La esta pagando;Casa;Si;No;No;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;15;Pueblos y nacionalidades;Otros;0
6;6;6;18;Femenino;27;Guayas;Soltero;No aplica;Secundaria;Primaria;400;3;0;Arrendada;Casa;Si;Si;Si;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;5;0;11;Masculino;21;Guayas;Soltero;No aplica;Educacion Media;Secundaria;360;7;0;Cedida;Casa;Si;No;No;No;0;BACHILLER EN INFORMATICA;Basico;SENESCYT;Fiscal;Ordinario;Regular;50;Otra;Senescyt;0
6;6;0;12;Masculino;21;Guayas;Soltero;No aplica;Educacion Basica;Centro de Alfabetizacion;450;3;0;Propia;Villa;Si;No;No;No;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;25;Otra;Convenio interisntitucional;0
